,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
337,Do Androids Dream of Electric Sheep?,Philip K. Dick,258,4.09,390343,United States,1968,Nebula Award Nominee for Best Novel (1968),1,"Science Fiction, Fiction, Classics, ",https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
338,Eleanor & Park,Rainbow Rowell,328,3.99,1015205,United States,2012,"Georgia Peach Book Award (2014), All About Romance (AAR) Annual Reader Poll for Best Young Adult Romance (2014), Odyssey Award Nominee (2014), Michael L. Printz Award Nominee (2014), Pennsylvania Young Readers' Choice Award for Young Adults (2015)   Rhode Island Teen Book Award (2015), Milwaukee County Teen Book Award (2014), Michigan Library Association Thumbs Up! Award (2014), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2016), Amelia Elizabeth Walden Award (2014), Boston Globe-Horn Book Award for Fiction (2013), Dioraphte Jongerenliteratuurprijs for vertaald boek (2015), California Young Readers Medal Nominee for Young Adult (2016), Lincoln Award (2015), DABWAHA Romance Tournament Nominee for Best Young Adult Romance (2014), North Carolina Young Adult Book Award for High School (2016), Goodreads Choice Award for Young Adult Fiction (2013) and Nominee for Best of the Best  (2018), Green Mountain Book Award Nominee (2015), The Magnolia Award for 9-12 (2015), Missouri Gateway Readers Award Nominee (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2013)",0,"Young Adult, Romance, Contemporary, ",https://www.goodreads.com/book/show/15745753-eleanor-park
339,"The Final Empire (Mistborn, #1)",Brandon Sanderson,541,4.46,492105,Luthadel,2006,"TÇÏhtifantasia Award Nominee (2018), Prix Elbakin.net for Meilleur roman fantasy traduit (2010)",1,"Fantasy, Fiction, Fantasy > High Fantasy, ",https://www.goodreads.com/book/show/68428.The_Final_Empire
340,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,221,4.04,466620,Narnia,1995,No Award,1,"Fantasy, Classics, Fiction, ",https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
341,Stardust,Neil Gaiman,248,4.09,397844,United Kingdom,1998,"Locus Award Nominee for Best Fantasy Novel (1999), Geffen Award (2000), Mythopoeic Fantasy Award for Adult Literature (1999), ALA Alex Award (2000)",0,"Fantasy, Fiction, Romance, ",https://www.goodreads.com/book/show/16793.Stardust
342,Franny and Zooey,J.D. Salinger,201,3.97,199304,None,1957,National Book Award Finalist for Fiction (1962),0,"Fiction, Classics, Short Stories",https://www.goodreads.com/book/show/5113.Franny_and_Zooey
343,"A Time to Kill (Jake Brigance, #1)",John Grisham,738,4.09,755548,United States,1989,No Award,1,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/32542.A_Time_to_Kill
344,"The Power of One (The Power of One, #1)",Bryce Courtenay,544,4.33,83711,South Africa,1989,West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1996),1,"Fiction, Historical > Historical FictionCultural > Africa",https://www.goodreads.com/book/show/122.The_Power_of_One
345,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,256,4.13,293835,United Kingdom,1901,"Audie Award for Best Audio Drama (2015), CWA Best Ever Nominee for Crime Novel (2013)",1,"Classics, Mystery, Fiction, ",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
346,"If I Stay (If I Stay, #1)",Gayle Forman,201,3.93,792795,United States,2009,"Georgia Peach Book Award Nominee for Honor book (2010), South Carolina Book Award Nominee for Young Adult Book Award (2011), Blue Hen Book Award for Teen Readers (2011), Pennsylvania Young Readers' Choice Award Nominee (2011), Milwaukee County Teen Book Award Nominee (2010)   Florida Teens Read Nominee (2010), The Inky Awards Nominee for Silver Inky (2009), California Young Readers Medal Nominee for Young Adult (2012), Lincoln Award Nominee (2012), NAIBA Book of the Year for Children's Literature (2009), Goodreads Choice Award Nominee for Young Adult Fiction (2009), Carnegie Medal Nominee (2010), Missouri Gateway Readers Award Nominee (2012)",1,"Young Adult, Romance, Contemporary, ",https://www.goodreads.com/book/show/4374400-if-i-stay
347,Black Beauty,Anna Sewell,245,3.97,256931,United Kingdom,1877,No Award,0,"Classics, Fiction, Childrens, ",https://www.goodreads.com/book/show/3685.Black_Beauty
348,Number the Stars,Lois Lowry,137,4.16,502675,Denmark,1989,"Newbery Medal (1990), National Jewish Book Award for Children's Literature (1990), Sydney Taylor Book Award for Older Readers (1989), Jane Addams Children's Book Award Nominee (1990), Charlotte Award (1992)   Vermont Golden Dome Book Award (1991), Charlie May Simon Children's Book Award (1992), Rebecca Caudill Young Readers' Book Award (1992)",0,None,https://www.goodreads.com/book/show/47281.Number_the_Stars
349,A Short History of Nearly Everything,Bill Bryson,544,4.2,342104,None,2003,"Samuel Johnson Prize for Non-Fiction Nominee (2004), EU Descartes Prize for science communication (2005), J. A. Hollon palkinto (2006)",0,"Nonfiction, Science, History, ",https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
350,The Art of Racing in the Rain,Garth Stein,321,4.22,479188,United States,2008,No Award,0,"Fiction, AnimalsContemporary",https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain
351,"The Gunslinger (The Dark Tower, #1)",Stephen King,231,3.94,551881,None,1982,No Award,1,"Fantasy, Fiction, Horror, ",https://www.goodreads.com/book/show/43615.The_Gunslinger
352,"Allegiant (Divergent, #3)",Veronica Roth,526,3.61,930305,United States,2013,Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013),1,"Young Adult, Science Fiction > Dystopia, Fiction, ",https://www.goodreads.com/book/show/18710190-allegiant
353,The Graveyard Book,Neil Gaiman,312,4.14,483560,United Kingdom,2008,None,None,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
354,V for Vendetta,Alan Moore,296,4.25,287451,United Kingdom,1990,"Prometheus Hall of Fame Award (2006), Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)",1,"Sequential Art > Graphic Novels, Sequential Art > Comics, Fiction, ",https://www.goodreads.com/book/show/5805.V_for_Vendetta
355,The Witches,Roald Dahl,208,4.16,356302,Norway,1983,"Whitbread Award for Children's Novel (1983), Books I Loved Best Yearly (BILBY) Awards for Read Alone (1993), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1986)",0,"Fantasy, Childrens, Fiction, ",https://www.goodreads.com/book/show/6327.The_Witches
356,Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,306,3.58,250869,Lilliput,1726,No Award,0,None,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels
357,East of Eden,John Steinbeck,601,4.39,468687,United States,1952,"Audie Award for Classic (2004), National Book Award Finalist for Fiction (1953)",0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/4406.East_of_Eden
358,White Fang,Jack London,252,4,169235,Canada,1906,No Award,0,"Classics, Fiction, Adventure",https://www.goodreads.com/book/show/43035.White_Fang
359,The Complete Novels,Jane Austen,1344,4.57,30801,None,1813,No Award,0,ClassicsFictionRomance,https://www.goodreads.com/book/show/14905.The_Complete_Novels
360,Love You Forever,Robert Munsch,32,4.36,219807,None,1986,None,None,"Childrens > Picture Books, Childrens, Fiction",https://www.goodreads.com/book/show/310259.Love_You_Forever
361,Bel Canto,Ann Patchett,318,3.93,258676,South America,2001,"Orange Prize for Fiction (2002), Book Sense Book of the Year Award for Paperback (2003), PEN/Faulkner Award for Fiction (2002), National Book Critics Circle Award Nominee for Fiction (2001), International Dublin Literary Award Nominee for Shortlist (2003)",0,"Fiction, ContemporaryLiterary Fiction",https://www.goodreads.com/book/show/5826.Bel_Canto
362,A Portrait of the Artist as a Young Man,James Joyce,329,3.63,137045,Ireland,1916,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
363,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,579,3.84,775024,United States,2012,Goodreads Choice Award for Romance and Nominee for Goodreads Author (2012),1,"Romance, Adult Fiction > Erotica, Fiction, ",https://www.goodreads.com/book/show/13536860-fifty-shades-freed
364,õë?ë?ñ½ë? õë?ëŸñë?ë?,Anonymous,604,4.37,61927,Saudi Arabia,632,No Award,0,"Religion, Religion > IslamNonfiction",https://www.goodreads.com/book/show/646462._
365,The Complete Maus,Art Spiegelman,296,4.54,169572,None,1994,"Pulitzer Prize for Special Citation (1992), American Book Award (1992)",1,"Sequential Art > Graphic Novels, Sequential Art > Comics, Nonfiction, ",https://www.goodreads.com/book/show/15195.The_Complete_Maus
366,Beowulf,Unknown,245,3.46,267995,Denmark,900,None,None,"Classics, Poetry, Fiction, ",https://www.goodreads.com/book/show/52357.Beowulf
367,The Martian,Andy Weir,384,4.4,941524,Mars,2001,"Kurd-LaÇ?witz-Preis for Bestes auslÇÏndisches Werk (2015), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), ITW Thriller Award Nominee for Best First Novel (2015), Audie Award for Science Fiction (2015), ALA Alex Award (2015)   Premio Ignotus for Mejor novela extranjera (Best Foreign Novel) (2015), ‘?ª†ñ?†ÏõŠü? for 3rd place in Translated Fiction (2015), Goodreads Choice Award for Science Fiction & Nominee for Debut Goodreads Author (2014) and Nominee for Best of the Best  (2018), Green Mountain Book Award Nominee (2016), Seiun Award ‘??‚?ýŠü? for Best Foreign Novel (2015)",1,"Science Fiction, Fiction, Audiobook, ",https://www.goodreads.com/book/show/18007564-the-martian
368,Tuck Everlasting,Natalie Babbitt,148,3.88,252725,None,1975,"Lewis Carroll Shelf Award (1978), Young Hoosier Book Award Nominee (1976), Vermont Golden Dome Book Award Nominee (1977), Children's Choice Book Award, Phoenix Award (Children's Literature Association) Nominee (1995)   Bluestem Book Award Nominee (2017)",0,"Fantasy, Young Adult, Classics, ",https://www.goodreads.com/book/show/84981.Tuck_Everlasting
369,American Psycho,Bret Easton Ellis,399,3.82,263153,United States,1991,No Award,0,"Fiction, Horror, Classics, ",https://www.goodreads.com/book/show/28676.American_Psycho
370,Cold Mountain,Charles Frazier,449,3.87,232111,United States,1997,"National Book Award for Fiction (1997), American Booksellers Book Of The Year  Award for Adult Trade (1998), Exclusive Books Boeke Prize (1998), Sue Kaufman Prize for First Fiction (1998), Chicago Tribune Heartland Prize for Fiction (1997)   National Book Critics Circle Award Nominee for Fiction (1997), Weatherford Award (1997), Lillian Smith Book Award (1997), Thomas Wolfe Memorial Literary Award (1997)",0,"Historical > Historical Fiction, Fiction, Historical",https://www.goodreads.com/book/show/10920.Cold_Mountain
371,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,704,4,393960,None,2005,"West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2007), Teen Buckeye Book Award (2007), Soaring Eagle Book Award (2006)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/45978.Eldest
372,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,338,3.92,406086,None,2011,Arab American Book Award Nominee for Children's/Young Adult (2013),1,None,https://www.goodreads.com/book/show/10429045-shatter-me
373,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,448,4.18,231255,None,1843,No Award,0,"Classics, Horror, Fiction, ",https://www.goodreads.com/book/show/391729.The_Tell_Tale_Heart_and_Other_Writings
374,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,393,4.17,315556,United States,2005,"All About Romance (AAR) Annual Reader Poll for Best Alt Reality/Paranormal (2006), RITA Award by Romance Writers of America Nominee for Paranormal Romance (2006), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Vampire Romance (2005), HOLT Medallion by Virginia Romance Writers Nominee for Paranormal/Time Travel/Futuristic/Fantasy (2006), DABWAHA Romance Tournament for Best Paranormal: Vampires, Werewolves, and the Supernatural (2006)",1,"Romance, Fantasy > Paranormal, Paranormal > Vampires, ",https://www.goodreads.com/book/show/42899.Dark_Lover
375,Go Ask Alice,Beatrice Sparks,213,3.76,253245,United States,1971,No Award,0,"Young Adult, Fiction, Classics",https://www.goodreads.com/book/show/46799.Go_Ask_Alice
376,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,563,3.76,572604,United States,2009,"Georgia Peach Book Award Nominee for Honor book (2011), William C. Morris YA Debut Award Nominee (2010), Audie Award for Paranormal (2011), California Young Readers Medal Nominee for Young Adult (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2009)",1,None,https://www.goodreads.com/book/show/6304335-beautiful-creatures
377,A Separate Peace,John Knowles,208,3.59,202124,United States,1959,None,None,"Classics, Fiction, Young Adult, ",https://www.goodreads.com/book/show/5148.A_Separate_Peace
378,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,814,4.18,456365,None,1990,Locus Award Nominee for Best Fantasy Book (1991),1,"Fantasy, Fiction, Fantasy > Epic Fantasy, ",https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
379,As I Lay Dying,William Faulkner,288,3.72,147760,United States,1930,None,None,None,https://www.goodreads.com/book/show/77013.As_I_Lay_Dying
380,Hamlet,William Shakespeare,289,4.03,818510,Denmark,1601,Grammy Award Nominee for Best Spoken Word Album (2012),0,"Classics, Plays, Fiction, ",https://www.goodreads.com/book/show/1420.Hamlet
381,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,184,4.11,402635,None,1995,"West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2005), Soaring Eagle Book Award (2000), Lincoln Award (2005)",1,"Nonfiction, Autobiography > Memoir, Biography",https://www.goodreads.com/book/show/60748.A_Child_Called_It_
382,ýë?îéîê? ë?ë? ½ë?ë?î ëóñê?õ,üê?î ë?ñ¦ôê? ë?æúëë?ê?,204,3.68,752,None,2015,No Award,0,None,https://www.goodreads.com/book/show/40937505
383,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,748,4.06,332664,None,2008,No Award,1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/2248573.Brisingr
384,Steppenwolf,Hermann Hesse,256,4.13,155032,None,1927,No Award,0,"Fiction, Classics, Philosophy",https://www.goodreads.com/book/show/16631.Steppenwolf
385,The Amazing Adventures of Kavalier & Clay,Michael Chabon,639,4.18,192502,United States,2000,"Pulitzer Prize for Fiction (2001), PEN/Faulkner Award for Fiction Nominee (2001), Gaylactic Spectrum Award Nominee for Best Novel (2001), California Book Award for Fiction (Gold) (2000), Los Angeles Times Book Prize Nominee for Fiction (2000)   New York City Book Award for Fiction (2000), National Book Critics Circle Award Nominee for Fiction (2000)",0,"Fiction, Historical > Historical Fiction, Novels",https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay
386,Mansfield Park,Jane Austen,488,3.86,311636,United Kingdom,1814,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/45032.Mansfield_Park
387,"Obsidian (Lux, #1)",Jennifer L. Armentrout,335,4.15,260851,United States,2011,None,None,"Young Adult, Fantasy, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/12578077-obsidian
388,The Hunchback of Notre-Dame,Victor Hugo,510,4,184062,France,1831,No Award,0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/30597.The_Hunchback_of_Notre_Dame
389,The Martian Chronicles,Ray Bradbury,182,4.15,232736,Mars,1950,Analog Award Nominee for All-Time Best Book (1952),0,"Science Fiction, Fiction, Classics, ",https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
390,'Salem's Lot,Stephen King,483,4.04,378094,United States,1975,None,None,"Horror, Fiction, Paranormal > Vampires, ",https://www.goodreads.com/book/show/11590._Salem_s_Lot
391,Cloud Atlas,David Mitchell,509,4,232723,United States,2004,"Booker Prize Nominee (2004), Nebula Award Nominee for Best Novel (2004), Locus Award Nominee for Best SF Novel (2005), Arthur C. Clarke Award Nominee (2005), James Tait Black Memorial Prize Nominee for Fiction (2004)   British Book Award for Best Read of the Year (2005), National Book Critics Circle Award Nominee for Fiction (2004), Geoffrey Faber Memorial Prize (2005), TÇÏhtivaeltaja Award Nominee (2009), The Rooster -- The Morning News Tournament of Books (2005)",0,None,https://www.goodreads.com/book/show/49628.Cloud_Atlas
